image_name,event_name,latitude,longitude,start_date,end_date,n_days,zoom,min_lat,max_lat,min_lon,max_lon
20562846.png,20562846,31.808783,-110.673004,2017-04-23,2017-04-30,8,9,30.8066,32.810966,-111.675187,-109.670821
20568194.png,20568194,30.631428,-82.286803,2017-04-08,2017-05-15,38,9,29.627561,31.635296,-83.287302,-81.286304
20700973.png,20700973,34.390878,-112.318606,2017-06-22,2017-06-30,9,9,33.38701,35.394745,-113.319104,-111.318107
20701026.png,20701026,32.72338,-109.864521,2017-06-08,2017-07-01,24,8,31.719513,33.727247,-110.866704,-108.862338
20702159.png,20702159,37.766297,-112.700951,2017-06-17,2017-07-13,27,9,36.76243,38.770165,-113.703134,-111.698768
20777134.png,20777134,42.253382,-124.039936,2017-07-23,2017-09-11,51,8,41.249515,43.25725,-125.042119,-123.037753
20777152.png,20777152,41.279833,-121.014859,2017-07-26,2017-08-11,17,8,40.275966,42.2837,-122.017042,-120.012676
20777181.png,20777181,37.577651,-120.11879,2017-07-16,2017-07-26,11,8,36.573784,38.581519,-121.120973,-119.116607
20777195.png,20777195,35.964052,-120.310805,2017-07-08,2017-07-21,14,9,34.960185,36.96792,-121.312988,-119.308622
20777203.png,20777203,34.97366,-120.277118,2017-07-07,2017-07-14,8,9,33.969792,35.977527,-121.279301,-119.274935
20777397.png,20777397,45.969039,-116.797269,2017-07-15,2017-07-28,14,8,44.965172,46.972906,-117.799452,-115.795086
20777452.png,20777452,42.890063,-114.420664,2017-07-10,2017-07-13,4,8,41.886196,43.893931,-115.421162,-113.420165
20777459.png,20777459,42.829427,-115.651917,2017-07-10,2017-07-14,5,8,41.82556,43.833294,-116.6541,-114.649734
20777482.png,20777482,41.754817,-114.270757,2017-07-05,2017-07-09,5,8,40.75095,42.758685,-115.27294,-113.268574
20777487.png,20777487,41.461742,-116.699577,2017-07-13,2017-07-19,7,9,40.457875,42.465609,-117.70176,-115.697394
20777508.png,20777508,40.949702,-116.628835,2017-07-10,2017-07-15,6,9,39.945835,41.95357,-117.631018,-115.626652
20777521.png,20777521,40.205223,-112.645368,2017-07-16,2017-07-24,9,8,39.201356,41.209091,-113.645867,-111.644869
20778140.png,20778140,48.936848,-120.384916,2017-07-20,2017-09-22,65,8,47.932981,49.940715,-121.387099,-119.382733
20778153.png,20778153,47.205345,-107.775938,2017-07-10,2017-07-29,20,8,46.201478,48.209213,-108.778121,-106.773755
20778186.png,20778186,46.696674,-114.226964,2017-07-17,2017-09-11,57,8,45.692807,47.700542,-115.229147,-113.224781
20778225.png,20778225,45.359307,-106.617111,2017-07-07,2017-07-12,6,8,44.35544,46.363175,-107.619294,-105.614928
